id	GSM3325819	GSM3325820	GSM3325823	GSM3325825	GSM3325827	GSM3325829	GSM3325818	GSM3325821	GSM3325822	GSM3325824	GSM3325826	GSM3325828
SLC6A4	10.2790154	12.0014197364167	11.5830405141667	9.67216154858333	11.0841729208333	9.21662444141667	4.44045608358333	4.81108840941667	6.99765143083333	6.00964615416667	6.03208499416667	5.62817784166667
FLJ34503	7.35826503583333	8.73438759166667	7.56571767191667	7.61031364916667	9.59731241083333	7.47501336941667	1.93977552916667	5.83290972225	0.566909014166667	2.635413775	5.24356857333333	2.72272768333333
TMEM100	11.5028938725	12.8866491566667	12.8070366008333	11.3660599583333	12.38474576	11.8281083225	9.30754897441667	4.89115678666667	8.12515011775	8.07533610416667	8.02991233166667	7.0292106625
SGCG	7.45381075583333	8.76144678333333	6.6384574875	8.75060294083333	8.60547094166667	5.15092098166667	3.26663581	2.81855656666667	2.74013808166667	2.41791927358333	5.68402112808333	1.605853125
FCN3	11.2426962166667	11.1393133725	11.59793688225	9.83870065583333	11.6568733358333	10.37383195	6.88183068	7.77466290833333	8.38742424725	7.45381075583333	6.95686153833333	2.14102007916667
FABP4	9.44556533108333	10.4539284035	9.95310207333333	11.7297702216667	9.82816244858333	9.62540911083333	4.76939967666667	4.56338139	7.71683384583333	7.17356355166667	5.70634670833333	4.92492246666667
MME	10.0569225066667	10.9009659541667	9.34142982666667	10.9227288708333	10.204786935	9.95959348608333	6.03781415416667	5.68615953916667	5.4097290125	6.8319003025	5.02448836083333	7.00493966166667
LINC00968	7.22703337083333	8.117013878	7.27664695166667	8.57126690166667	9.08865539166667	7.44883593	0.397068076666667	1.58106110833333	5.3824569125	5.25733538958333	5.56573593333333	5.04790310833333
LOC101928161	7.31213299308333	7.840057835	7.72971270366667	8.73452805166667	8.66680205833333	7.99010304691667	2.6592403025	5.83516271416667	2.013063475	4.32695368333333	6.21921042058333	3.11260469166667
SLC19A3	9.10254879333333	9.33269241358333	8.72858142916667	9.6189554125	8.49773283916667	9.48712972083333	2.8540796375	5.08536016916667	8.3278824205	6.96594506858333	3.23004175833333	4.48509327083333
